"","numVars","mseTest","mseOob"
"1",1,2064363575.35805,1993527748.77183
"2",2,1300450058.32364,1260331372.55575
"3",3,1156450413.48182,1124152119.94855
"4",4,1123234013.60532,1074706449.69693
"5",5,1120560545.44512,1065916254.08508
"6",6,1110692891.59271,1051911769.21543
"7",7,1104869352.78297,1051158919.82473
"8",8,1110549962.64535,1057732601.3152
"9",9,1103302227.64925,1061188377.8971
"10",10,1102142364.23046,1056088581.82075
"11",11,1119726588.48765,1063522924.82691
"12",12,1116917823.86453,1075338246.8831
"13",13,1118608583.13472,1069604106.30725
"14",14,1113820965.81861,1077383634.66842
"15",15,1129720939.69398,1093889405.50163
"16",16,1137039783.79326,1101701388.61472
"17",17,1140841624.41995,1098460099.01624
"18",18,1136153022.93919,1095973703.98172
